id;name;code;user_type_id/id;chart_template_id/id;reconcile
l10n_dz.pcg_6094;R.R.R Obtenus sur achats sur études et prestations;6094;account.data_account_type_expenses;l10n_dz.l10n_dz_pcg_chart_template;False
l10n_dz.pcg_6095;R.R.R Obtenus sur achats de petits matériels et équipements;6095;account.data_account_type_expenses;l10n_dz.l10n_dz_pcg_chart_template;False
l10n_dz.pcg_6111;Sous traitance de spécialité;6111;account.data_account_type_expenses;l10n_dz.l10n_dz_pcg_chart_template;False
l10n_dz.pcg_6112;Sous traitance de capacité;6112;account.data_account_type_expenses;l10n_dz.l10n_dz_pcg_chart_template;False
l10n_dz.pcg_61311;Locations immobilières : Redevance de crédit bail immobilier;61311;account.data_account_type_expenses;l10n_dz.l10n_dz_pcg_chart_template;False
l10n_dz.pcg_61312;Locations mobilières : Redevance de crédit bail mobilier;61312;account.data_account_type_expenses;l10n_dz.l10n_dz_pcg_chart_template;False
l10n_dz.pcg_6141;Charges locatives d’immeubles;6141;account.data_account_type_expenses;l10n_dz.l10n_dz_pcg_chart_template;False
l10n_dz.pcg_6142;Charges de copropriété logements de fonction;6142;account.data_account_type_expenses;l10n_dz.l10n_dz_pcg_chart_template;False
l10n_dz.pcg_6143;Loyers garages et parking de stationnement de véhicules;6143;account.data_account_type_expenses;l10n_dz.l10n_dz_pcg_chart_template;False
l10n_dz.pcg_6148;Autres charges locatives;6148;account.data_account_type_expenses;l10n_dz.l10n_dz_pcg_chart_template;False
l10n_dz.pcg_6151;Entretien et réparation sur biens immobiliers;6151;account.data_account_type_expenses;l10n_dz.l10n_dz_pcg_chart_template;False
l10n_dz.pcg_6152;Entretien et réparation sur biens mobiliers;6152;account.data_account_type_expenses;l10n_dz.l10n_dz_pcg_chart_template;False
l10n_dz.pcg_6156;Maintenance;6156;account.data_account_type_expenses;l10n_dz.l10n_dz_pcg_chart_template;False
l10n_dz.pcg_6161;Assurances multirisques professionnels;6161;account.data_account_type_expenses;l10n_dz.l10n_dz_pcg_chart_template;False
l10n_dz.pcg_6162;Assurances transport;6162;account.data_account_type_expenses;l10n_dz.l10n_dz_pcg_chart_template;False
l10n_dz.pcg_6163;Assurance responsabilité civile;6163;account.data_account_type_expenses;l10n_dz.l10n_dz_pcg_chart_template;False
l10n_dz.pcg_6164;Assurance catastrophe naturelle;6164;account.data_account_type_expenses;l10n_dz.l10n_dz_pcg_chart_template;False
l10n_dz.pcg_6165;Assurance couverture risque de Vie;6165;account.data_account_type_expenses;l10n_dz.l10n_dz_pcg_chart_template;False
l10n_dz.pcg_6168;Autres assurances;6168;account.data_account_type_expenses;l10n_dz.l10n_dz_pcg_chart_template;False
l10n_dz.pcg_617;Études et recherches;617;account.data_account_type_expenses;l10n_dz.l10n_dz_pcg_chart_template;False
l10n_dz.pcg_6181;Documentation générale;6181;account.data_account_type_expenses;l10n_dz.l10n_dz_pcg_chart_template;False
l10n_dz.pcg_6182;Abonnements aux Journaux, revues et JO/BOAL/BOMOP ...etc.;6182;account.data_account_type_expenses;l10n_dz.l10n_dz_pcg_chart_template;False
l10n_dz.pcg_6183;Documentation technique;6183;account.data_account_type_expenses;l10n_dz.l10n_dz_pcg_chart_template;False
l10n_dz.pcg_6184;Frais de reprographie;6184;account.data_account_type_expenses;l10n_dz.l10n_dz_pcg_chart_template;False
